"1","Автомобильный бизнес",NULL
"2","Административный персонал",NULL
"3","Банки, инвестиции, лизинг",NULL
"4","Безопасность",NULL
"5","Бухгалтерия, управленческий учет, финансы предприятия",NULL
"6","Высший менеджмент",NULL
"7","Государственная служба, некоммерческие организации",NULL
"8","Добыча сырья",NULL
"9","Домашний персонал",NULL
"10","Закупки",NULL
"11","Инсталляция и сервис",NULL
"12","Информационные технологии, интернет, телеком",NULL
"13","Искусство, развлечения, масс-медиа",NULL
"14","Консультирование",NULL
"15","Маркетинг, реклама, PR",NULL
"16","Медицина, фармацевтика",NULL
"17","Наука, образование",NULL
"18","Начало карьеры, студенты",NULL
"19","Продажи",NULL
"20","Производство",NULL
"21","Рабочий персонал",NULL
"22","Спортивные клубы, фитнес, салоны красоты",NULL
"23","Страхование",NULL
"24","Строительство, недвижимость",NULL
"25","Транспорт, логистика",NULL
"26","Туризм, гостиницы, рестораны",NULL
"27","Управление персоналом, тренинги",NULL
"28","Юристы",NULL
"30","Автожестянщик","1"
"31","Автозапчасти","1"
"32","Автомойщик","1"
"33","Автослесарь","1"
"34","Начальный уровень /Мало опыта","1"
"35","Продажа","1"
"36","Производство","1"
"37","Прокат, лизинг","1"
"38","Сервисное обслуживание","1"
"39","Тонировщик","1"
"40","Шины, Диски","1"
"41","АХО","2"
"42","Архивист","2"
"43","Ввод данных","2"
"44","Вечерний секретарь","2"
"45","Водитель","2"
"46","Делопроизводство","2"
"47","Курьер","2"
"48","Начальный уровень, Мало опыта","2"
"49","Персональный ассистент","2"
"50","Письменный перевод","2"
"51","Последовательный перевод","2"
"52","Ресепшен","2"
"53","Секретарь","2"
"54","Синхронный перевод","2"
"55","Сотрудник call-центра","2"
"56","Уборщица","2"
"57","Управляющий офисом(Оffice manager)","2"
"58","Учет товарооборота","2"
"59","Forex","3"
"60","Private Banking","3"
"61","Автокредитование","3"
"62","Акции, Ценные бумаги","3"
"63","Аналитик","3"
"64","Аудит, Внутренний контроль","3"
"66","Бухгалтер","3"
"67","Бюджетирование","3"
"68","Валютный контроль","3"
"69","Внутренние операции (Back Office)","3"
"70","Денежный рынок (money market)","3"
"72","Ипотека, Ипотечное кредитование","3"
"73","Казначейство, Управление ликвидностью","3"
"74","Кассовое обслуживание, инкассация","3"
"76","Корпоративное финансирование","3"
"77","Корреспондентские, Международные отношения","3"
"78","Кредитование малого и среднего бизнеса","3"
"79","Кредиты","3"
"81","Лизинг","3"
"82","Методология, Банковские технологии","3"
"83","Налоги","3"
"84","Начальный уровень, Мало опыта","3"
"85","ОПЕРУ","3"
"86","Обменные пункты, Банкоматы","3"
"87","Отчетность","3"
"88","Оценка залога, Стоимости имущества","3"
"89","Паевые фонды","3"
"90","Пластиковые карты","3"
"91","Портфельные инвестиции","3"
"92","Привлечение клиентов","3"
"93","Продажа финансовых продуктов","3"
"94","Проектное финансирование","3"
"95","Прямые инвестиции","3"
"96","Работа с проблемными заемщиками","3"
"97","Разработка новых продуктов, Маркетинг","3"
"98","Расчеты","3"
"99","Риски","3"
"105","Розничный бизнес","3"
"106","Руководство бухгалтерией","3"
"107","Торговое финансирование","3"
"108","Трейдинг, Дилинг","3"
"109","Факторинг","3"
"110","Финансовый мониторинг","3"
"111","Экономист","3"
"112","Эмиссии","3"
"113","Взыскание задолженности, Коллекторская деятельность","4"
"114","Имущественная безопасность","4"
"115","Инкассатор","4"
"116","Личная безопасность","4"
"117","Охранник","4"
"118","Пожарная безопасность","4"
"119","Руководитель СБ","4"
"120","Системы видеонаблюдения","4"
"121","Экономическая и информационная безопасность","4"
"122","ACCA","5"
"123","CIPA","5"
"124","GAAP","5"
"125","Аудит","5"
"126","Бухгалтер","5"
"127","Бухгалтер-калькулятор","5"
"128","Бюджетирование и планирование","5"
"129","Валютный контроль","5"
"130","Казначейство","5"
"131","Кассир, Инкассатор","5"
"132","Кредитный контроль","5"
"133","МСФО, IFRS","5"
"134","Налоги","5"
"135","Начальный уровень, Мало опыта","5"
"136","Основные средства","5"
"137","Оффшоры","5"
"138","Первичная документация","5"
"139","Планово-экономическое управление","5"
"140","Расчет себестоимости","5"
"141","Руководство бухгалтерией","5"
"142","ТМЦ","5"
"143","Учет заработной платы","5"
"144","Учет счетов и платежей","5"
"145","Финансовый анализ","5"
"146","Финансовый контроль","5"
"147","Финансовый менеджмент","5"
"148","Ценные бумаги","5"
"149","Экономист","5"
"150","Администрирование","6"
"151","Антикризисное управление","6"
"152","Добыча cырья","6"
"153","Инвестиции","6"
"154","Информационные технологии, Интернет, Мультимедиа","6"
"155","Искусство, Развлечения, Масс-медиа","6"
"156","Коммерческий Банк","6"
"157","Консультирование","6"
"158","Маркетинг, Реклама, PR","6"
"159","Медицина, Фармацевтика","6"
"160","Наука, Образование","6"
"161","Продажи","6"
"162","Производство, Технология","6"
"163","Спортивные клубы, Фитнес, Салоны красоты","6"
"164","Страхование","6"
"165","Строительство, Недвижимость","6"
"166","Транспорт, Логистика","6"
"167","Туризм, Гостиницы, Рестораны","6"
"168","Управление закупками","6"
"169","Управление малым бизнесом","6"
"170","Управление персоналом, Тренинги","6"
"171","Финансы","6"
"172","Юриспруденция","6"
"173","Юриспруденция","7"
"174","Атташе","7"
"175","Библиотекарь","7"
"176","Благотворительность","7"
"177","Муниципалитет","7"
"178","НИИ","7"
"179","Общественные организации","7"
"180","Правительство","7"
"181","Бурение","8"
"182","Газ","8"
